"","City","Positive","Negative"
"26336","Brewster",39,6
"26337","Cochituate",6,1
"26338","Ware",26,9
"26339","Brockton",27,16
"26340","Vineyard Haven",44,4
"26341","Pigeon Cove",24,5
"26342","Granby",34,6
"26343","Barnstable",29,12
"26344","Manchester-by-the-Sea",17,24
"26345","Bliss Corner",28,10
"26346","Harwich Port",7,1
"26347","Russell",29,9
"26348","Accord",30,18
"26349","North Adams",18,7
"26350","South Acton",24,8
"26351","Watertown",25,10
"26352","Lynnfield",19,18
"26353","Cheshire",23,20
"26354","Chester",16,17
"26355","Littleton Common",4,0
"26356","Dennis Port",17,4
"26357","West Acton",32,8
"26358","Westfield",29,10
"26359","North Cohasset",1,1
"26360","Spencer",24,11
"26361","North Marshfield",4,1
"26362","South Walpole",4,0
"26363","South Dennis",19,9
"26364","Cambridge",24,13
"26365","Clinton",18,20
"26366","Housatonic",37,3
"26367","Cotuit",26,1
"26368","North Brookfield",15,5
"26369","Somerville",14,20
"26370","New Seabury",13,1
"26371","Northampton",32,8
"26372","Hatfield",22,4
"26373","Methuen",36,5
"26374","Holyoke",33,12
"26375","Silver Lake",20,16
"26376","North Pembroke",49,0
"26377","Brookville",19,22
"26378","Framingham",32,7
"26379","Hanover Center",44,5
"26380","Huntington",29,3
"26381","Wellesley",30,7
"26382","Orleans",33,10
"26383","Essex",32,6
"26384","Lenox",31,6
"26385","Forestdale",29,8
"26386","Sharon",26,13
"26387","South Amherst",27,5
"26388","Pine Lake",26,8
"26389","Foxborough",26,7
"26390","Wamesit",0,3
"26391","Shawsheen Village",1,0
"26392","Newburyport",29,7
"26393","North Attleboro",19,8
"26394","Chatham",30,9
"26395","Ipswich",14,4
"26396","East Harwich",5,2
"26397","Agawam",30,8
"26398","Marshfield Center",5,0
"26399","Rexhame",5,0
"26400","Marstons Mills",11,4
"26401","Fitchburg",30,6
"26402","North Scituate",21,10
"26403","Deerfield",24,18
"26404","Lawrence",26,12
"26405","Fayville",19,22
"26406","Nahant",20,10
"26407","Revere",44,2
"26408","Abington",28,7
"26409","East Brookfield",33,6
"26410","Lunenburg",33,3
"26411","Rowley",30,8
"26412","Hanson",24,16
"26413","Saugus",25,14
"26414","Dover",24,11
"26415","Bourne",30,12
"26416","Needham",36,8
"26417","North Truro",21,3
"26418","Greenbush",27,9
"26419","New Bedford",42,5
"26420","Adams",31,6
"26421","East Falmouth",28,12
"26422","Wilbraham",37,3
"26423","North Plymouth",31,13
"26424","West Falmouth",27,4
"26425","North Wilmington",29,4
"26426","Franklin",27,21
"26427","Edgartown",35,2
"26428","Beverly",13,5
"26429","Rutland",29,12
"26430","Scituate",28,8
"26431","Woburn",25,14
"26432","Chelsea",24,18
"26433","Siasconset",4,0
"26434","North Bellingham",24,11
"26435","East Dennis",40,3
"26436","Woodville",24,6
"26437","East Sandwich",14,12
"26438","Hingham",26,6
"26439","North Hanover",24,14
"26440","Humarock",2,0
"26441","Worcester",28,13
"26442","Egypt",30,9
"26443","Pocasset",21,1
"26444","Caryville",12,3
"26445","West Chatham",19,12
"26446","Melrose",17,11
"26447","Centerville",27,17
"26448","Forge Village",50,0
"26449","Hopedale",39,5
"26450","Popponesset",1,0
"26451","Nabnasset",2,0
"26452","Maynard",29,7
"26453","Islington",39,5
"26454","West Medway",15,0
"26455","Monument Beach",20,5
"26456","Hopkinton",27,7
"26457","Hudson",25,8
"26458","Kingston",20,15
"26459","Shore Acres",37,6
"26460","Peabody",16,18
"26461","Rockville",33,4
"26462","Millers Falls",1,4
"26463","Northborough",24,17
"26464","Springfield",19,12
"26465","Norwood",20,14
"26466","Lowell",19,13
"26467","Winchendon",15,5
"26468","Leominster",30,12
"26469","Marshfield",19,1
"26470","Harding",27,13
"26471","Brant Rock",9,4
"26472","Gardner",21,7
"26473","Smith Mills",36,7
"26474","Fiskdale",11,0
"26475","South Chelmsford",23,10
"26476","Ballardvale",2,4
"26477","Oxford",17,22
"26478","Weweantic",0,1
"26479","North Westport",12,31
"26480","South Lancaster",13,28
"26481","Malden",36,5
"26482","Whitinsville",14,17
"26483","Lynn",17,18
"26484","East Douglas",24,20
"26485","North Tewksbury",17,0
"26486","Attleboro",28,6
"26487","North Abington",12,4
"26488","Still River",20,22
"26489","Wilmington",26,10
"26490","Medfield",33,14
"26491","Wakefield",31,10
"26492","Plymouth",20,16
"26493","Amherst Center",33,15
"26494","River Pines",18,4
"26495","Mashpee Neck",1,1
"26496","Black Rock",15,30
"26497","Osterville",40,0
"26498","Madaket",21,12
"26499","Blandford",36,9
"26500","West Barnstable",10,11
"26501","North Seekonk",3,0
"26502","Fall River",23,20
"26503","Taunton",24,12
"26504","Randolph",10,38
"26505","Gleasondale",2,0
"26506","Marblehead",31,7
"26507","Teaticket",5,5
"26508","West Upton",13,15
"26509","Graniteville",22,9
"26510","South Duxbury",9,3
"26511","Kent Park",36,6
"26512","Nantucket",28,4
"26513","Salisbury",23,13
"26514","Pinehurst",33,12
"26515","Dennis",13,11
"26516","East Pepperell",2,0
"26517","West Concord",33,3
"26518","Clicquot",19,13
"26519","North Billerica",22,1
"26520","Castalia",16,5
"26521","Continental",17,4
"26522","McClure",28,8
"26523","Bradner",21,3
"26524","Toledo",32,7
"26525","Wheelersburg",21,8
"26526","South Zanesville",3,1
"26527","University Heights",44,2
"26528","Hooven",20,1
"26529","Sheffield Lake",13,9
"26530","West Mansfield",32,4
"26531","Curtice",48,2
"26532","Stryker",28,8
"26533","Goshen",35,6
"26534","Wren",12,8
"26535","Amsden",21,19
"26536","Mount Cory",13,1
"26537","Newburgh Heights",9,24
"26538","Holloway",27,10
"26539","Coalton",9,5
"26540","Pomeroy",29,15
"26541","Jeffersonville",29,7
"26542","Magnetic Springs",4,1
"26543","Blue Ash",26,14
"26544","Collins",23,9
"26545","Adario",33,8
"26546","Trotwood",25,2
"26547","Milford Center",41,6
"26548","Hamilton",34,7
"26549","Vanlue",26,7
"26550","Meyers Lake",4,1
"26551","Neville",22,16
"26552","New Riegel",33,1
"26553","Pisgah",24,4
"26554","Burbank",32,5
"26555","Nankin",22,15
"26556","Parral",23,13
"26557","Olena",25,9
"26558","Jewell",22,19
"26559","Kelloggsville",17,1
"26560","Russellville",15,33
"26561","Quincy",19,11
"26562","Grove City",19,14
"26563","Darbydale",1,0
"26564","Shauck",2,0
"26565","Tarlton",31,5
"26566","Northwood",39,4
"26567","Corning",37,8
"26568","Akron",35,5
"26569","Franklin Furnace",10,1
"26570","West Lafayette",32,2
"26571","North Fairfield",6,10
"26572","West Jefferson",30,12
"26573","Gibsonburg",21,12
"26574","Sebring",23,15
"26575","Morrow",24,21
"26576","Mount Orab",4,0
"26577","Ohio City",23,26
"26578","Batesville",27,4
"26579","Centerville",28,14
"26580","Antwerp",25,7
"26581","Chauncey",24,18
"26582","Tippecanoe",35,8
"26583","Jacksontown",3,0
"26584","Chippewa Park",10,4
"26585","Lakewood",23,16
"26586","Montrose",26,15
"26587","Felicity",34,9
"26588","Coolville",4,0
"26589","Lucas",23,10
"26590","Monfort Heights",2,1
"26591","South Lebanon",43,4
"26592","Chesapeake",26,10
"26593","Barnesville",30,8
"26594","Reminderville",0,0
"26595","New Baltimore",45,5
"26596","East Liberty",37,7
"26597","Thurston",18,24
"26598","Celeryville",0,0
"26599","Wickliffe",31,8
"26600","Groesbeck",31,9
"26601","Midvale",34,8
"26602","Monroe",24,13
"26603","Wilmot",32,9
"26604","Arlington",30,7
"26605","Macksburg",4,5
"26606","Montgomery",27,17
"26607","Newark",23,13
"26608","Apple Valley",15,8
"26609","Bellville",19,13
"26610","Richmond Heights",28,2
"26611","Addison",30,11
"26612","Lodi",30,6
"26613","Kings Mills",23,14
"26614","De Graff",27,3
"26615","Columbia Station",28,18
"26616","Plumwood",0,2
"26617","Vandalia",30,5
"26618","Martinsville",20,7
"26619","Columbiana",11,19
"26620","Woodbourne",14,26
"26621","Cherry Grove",33,3
"26622","Miller City",28,8
"26623","Cairo",33,6
"26624","Metamora",21,8
"26625","Gustavus",38,1
"26626","Milan",16,1
"26627","White Oak",44,6
"26628","Rosewood",30,10
"26629","North Perry",15,11
"26630","Westfield Center",40,7
"26631","Flushing",16,27
"26632","Frankfort",36,8
"26633","Silverton",29,13
"26634","Kirtland",31,5
"26635","Damascus",6,37
"26636","Jamestown",20,13
"26637","Millersburg",38,4
"26638","Blissfield",28,7
"26639","Hageman",34,8
"26640","Grover Hill",8,3
"26641","Oberlin",18,21
"26642","North Canton",30,11
"26643","North Lewisburg",27,18
"26644","Napoleon",30,7
"26645","Watertown",26,11
"26646","Gambier",21,6
"26647","Bellefontaine",30,15
"26648","Cambridge",24,13
"26649","Clinton",14,27
"26650","Fort Recovery",36,11
"26651","Orangeville",33,6
"26652","Arlington Heights",37,6
"26653","Ancor",12,15
"26654","Twinsburg Heights",1,1
"26655","Blanchester",18,7
"26656","Trinway",2,2
"26657","Waterford",26,11
"26658","Deerfield",21,18
"26659","Congress",24,23
"26660","Medina",23,13
"26661","Portage Lakes",20,6
"26662","Catawba Island",14,0
"26663","Red Lion",42,6
"26664","Glenford",22,5
"26665","Spring Valley",33,8
"26666","North Madison",22,10
"26667","Addyston",6,0
"26668","New Hope",23,4
"26669","Milton Center",48,2
"26670","Saint Paris",49,0
"26671","Marengo",23,14
"26672","Dunlap",14,23
"26673","Litchfield",24,5
"26674","Grand Rapids",47,3
"26675","Finneytown",32,7
"26676","Omega",7,33
"26677","Shaker Heights",34,4
"26678","Hemlock",26,11
"26679","Rossburg",0,7
"26680","Pandora",15,11
"26681","Cutler",23,20
"26682","Galion",39,4
"26683","Beallsville",11,7
"26684","Pleasant Grove",46,2
"26685","Brecksville",23,18
"26686","Wetherington",26,4
"26687","Trenton",24,8
"26688","New Lexington",48,1
"26689","Covedale",5,0
"26690","Centerburg",30,4
"26691","Lakeside",32,9
"26692","Kingston",20,12
"26693","West Portsmouth",14,3
"26694","Piketon",11,30
"26695","Lisbon",25,13
"26696","Bratenahl",16,31
"26697","Obetz",27,13
"26698","Worthington",28,11
"26699","New London",42,6
"26700","Union",27,15
"26701","Carey",10,6
"26702","Fruit Hill",26,3
"26703","Miamisburg",29,11
"26704","Kirkersville",6,3
"26705","Steubenville",26,4
"26706","Williamsdale",1,0
"26707","Eastlake",24,11
"26708","Powell",31,11
"26709","Anna",23,13
"26710","Lewisville",35,4
"26711","Parkman",31,2
"26712","Havana",49,1
"26713","Lake Milton",31,10
"26714","Millville",14,10
"26715","The Village of Indian Hill",1,0
"26716","Wakefield",35,7
"26717","Oneida",17,9
"26718","Harlem Springs",2,1
"26719","Lockington",37,6
"26720","Ridgeville Corners",4,0
"26721","Evendale",42,2
"26722","Eagleville",33,8
"26723","New Albany",43,6
"26724","Bedford Heights",20,4
"26725","Sawyerwood",5,1
"26726","Russells Point",3,1
"26727","Andover",27,18
"26728","Ashville",17,13
"26729","Linndale",3,0
"26730","Jackson",25,13
"26731","Walton Hills",11,1
"26732","Jerry City",27,14
"26733","Butler",28,15
"26734","Vinton",21,14
"26735","Crystal Lakes",50,0
"26736","Strongsville",39,2
"26737","Hamden",22,21
"26738","Lindsey",38,6
"26739","Bloomingburg",8,1
"26740","Mount Carmel",28,13
"26741","Marblehead",31,7
"26742","Friendship",46,2
"26743","Cherry Fork",10,3
"26744","Marshallville",0,1
"26745","McDonald",15,20
"26746","Laura",10,31
"26747","Roads",22,22
"26748","Aberdeen",36,6
"26749","Highpoint",38,5
"26750","Washingtonville",31,4
"26751","Forest",17,15
"26752","North Baltimore",28,11
"26753","Marlboro",19,17
"26754","Wintersville",43,5
"26755","Frazeysburg",4,2
"26756","Day Heights",30,4
"26757","Remington",28,14
"26758","Chesterland",14,3
"26759","Poland",25,12
"26760","Harrisonville",32,4
"26761","Fayetteville",33,9
"26762","Beckett Ridge",50,0
"26763","Elgin",16,26
"26764","Madison Mills",14,10
"26765","City View Heights",13,7
"26766","Greentown",31,1
"26767","Mechanicsburg",28,5
"26768","Harrison",26,11
"26769","Cleveland",15,11
"26770","Campbell",19,18
"26771","Hopedale",39,5
"26772","Mount Eaton",2,0
"26773","Osgood",24,15
"26774","Athens",27,12
"26775","Clarksburg",30,3
"26776","Blakeslee",32,5
"26777","Buchtel",26,4
"26778","Georgetown",31,15
"26779","Rocky Ridge",32,7
"26780","Stow",39,6
"26781","College Corner",41,2
"26782","Harrisburg",25,10
"26783","Latty",17,19
"26784","Fairview",20,16
"26785","Amelia",21,13
"26786","Saybrook",29,11
"26787","Lyndhurst",35,4
"26788","Freeport",28,10
"26789","Ashland",28,6
"26790","Cleveland Heights",26,12
"26791","Risingsun",32,12
"26792","South Webster",33,5
"26793","Belle Valley",33,8
"26794","Parma",24,8
"26795","Chatfield",32,10
"26796","Port Washington",31,11
"26797","Williamsburg",23,17
"26798","Dexter",25,7
"26799","Overpeck",18,5
"26800","Shreve",32,7
"26801","Maplewood Park",5,5
"26802","Walnut Creek",30,9
"26803","Gates Mills",24,9
"26804","Wilberforce",40,6
"26805","Fresno",31,9
"26806","Waynesville",23,10
"26807","Ithaca",34,7
"26808","Warren",22,24
"26809","Caldwell",24,12
"26810","Woodlawn",13,16
"26811","West Middletown",19,6
"26812","Norton",27,9
"26813","Plain City",29,15
"26814","Piedmont",32,13
"26815","Cuba",23,24
"26816","Peoria",26,6
"26817","Hiram",31,12
"26818","Sinking Spring",12,14
"26819","Syracuse",36,6
"26820","Arcadia",35,6
"26821","Fairport Harbor",7,1
"26822","Lake Mohawk",14,2
"26823","Macon",29,12
"26824","West Point",34,15
"26825","Madison",30,14
"26826","Delphos",22,16
"26827","Westerville",31,6
"26828","Smithville",29,5
"26829","Haskins",20,13
"26830","South Point",28,13
"26831","Bergholz",6,3
"26832","Cynthiana",28,7
"26833","Richfield",19,25
"26834","Seven Hills",11,11
"26835","Malinta",7,4
"26836","Mantua",23,5
"26837","Green Camp",18,17
"26838","Mogadore",32,14
"26839","Norwood",24,11
"26840","Beach City",21,18
"26841","Aquilla",27,9
"26842","Bascom",2,44
"26843","West Farmington",22,12
"26844","Loveland Park",18,9
"26845","Mifflin",29,7
"26846","Conesville",5,20
"26847","Rio Grande",19,19
"26848","South Bloomingville",8,0
"26849","Bainbridge",37,8
"26850","Lafferty",25,12
"26851","Fostoria",34,1
"26852","Royalton",29,11
"26853","Oakwood",16,29
"26854","Hudson",30,8
"26855","Walbridge",28,8
"26856","Port Clinton",36,5
"26857","Hillsboro",31,7
"26858","Weston",21,18
"26859","Circleville",34,4
"26860","Roundhead",22,18
"26861","South Russell",31,7
"26862","Middleburg Heights",24,9
"26863","Hopkinsville",35,6
"26864","Lakeline",21,14
"26865","Reynoldsburg",21,3
"26866","Mount Vernon",27,9
"26867","Boston Heights",18,22
"26868","Gahanna",33,4
"26869","Wilmington",26,9
"26870","Austinburg",7,2
"26871","Lakemore",1,1
"26872","Unionville Center",1,0
"26873","Bourneville",36,8
"26874","Clifton",34,8
"26875","Madeira",22,15
"26876","Fort Seneca",1,0
"26877","Empire",36,6
"26878","Hayesville",27,9
"26879","Orient",22,8
"26880","Adena",34,4
"26881","Fairfield",35,7
"26882","Duncan Falls",13,16
"26883","Shelby",27,11
"26884","Dundee",29,13
"26885","Plainville",19,13
"26886","Republic",27,15
"26887","Harrod",47,2
"26888","Wabash",31,9
"26889","North Robinson",45,3
"26890","Put-in-Bay",20,17
"26891","Verona",40,3
"26892","Neapolis",40,6
"26893","Corwin",29,9
"26894","Okolona",16,12
"26895","Hannibal",18,21
"26896","Morristown",19,13
"26897","Mecca",25,14
"26898","South Charleston",25,7
"26899","West Rushville",1,0
"26900","Nova",15,32
"26901","Nellie",31,12
"26902","Burlington",26,12
"26903","Orange",25,21
"26904","Champion",39,8
"26905","Sheffield",42,3
"26906","Murray City",28,12
"26907","Cuyahoga Falls",28,18
"26908","Brilliant",45,4
"26909","North Hampton",25,7
"26910","Youngstown",19,4
"26911","Tremont City",8,6
"26912","Amanda",27,7
"26913","Reily",18,15
"26914","Cedarville",34,10
"26915","Lowellville",29,7
"26916","Austintown",24,8
"26917","Canal Winchester",36,2
"26918","Leipsic",16,11
"26919","Lansing",25,12
"26920","Park Layne",15,18
"26921","Hanging Rock",27,21
"26922","Sagamore Hills",14,14
"26923","Forestville",29,4
"26924","Hanoverton",1,7
"26925","Ansonia",26,7
"26926","Cooperdale",6,4
"26927","Mayfield Heights",25,10
"26928","Crown City",33,9
"26929","Twinsburg",40,0
"26930","Grandview Heights",29,9
"26931","Westboro",19,19
"26932","Genoa",25,16
"26933","Pickerington",24,3
"26934","West Hill",32,13
"26935","Lebanon",28,14
"26936","Roseville",27,7
"26937","Saint Henry",41,6
"26938","Sandusky",27,6
"26939","Bolindale",1,0
"26940","Plainfield",23,7
"26941","Alger",23,14
"26942","Mount Liberty",21,5
"26943","Carrollton",28,12
"26944","West Richfield",5,0
"26945","Sarahsville",2,0
"26946","South Euclid",21,17
"26947","Fredericktown",9,6
"26948","Chagrin Falls",9,40
"26949","Kelleys Island",10,2
"26950","Euclid",17,15
"26951","Northfield",19,8
"26952","Sharpsburg",45,4
"26953","South Canal",32,10
"26954","Rose Farm",31,10
"26955","Wyoming",34,8
"26956","Covington",6,6
"26957","Indian Springs",34,4
"26958","Waverly",29,9
"26959","Zanesville",30,14
"26960","Kirby",31,7
"26961","Defiance",8,39
"26962","Avon",28,16
"26963","Rogers",17,17
"26964","Saint Clairsville",6,0
"26965","Eureka",33,10
"26966","Alliance",31,9
"26967","Gordon",25,9
"26968","Richville",14,2
"26969","New Marshfield",39,0
"26970","Phillipsburg",36,1
"26971","Bevis",21,12
"26972","Wakeman",13,8
"26973","Seville",15,15
"26974","Clay Center",23,23
"26975","Buckeye Lake",18,10
"26976","Turpin Hills",15,4
"26977","Deer Park",32,9
"26978","Little Hocking",9,9
"26979","Tylersville",4,2
"26980","Excello",11,1
"26981","Petersburg",32,10
"26982","Eagle Mills",22,5
"26983","Swanton",32,8
"26984","Glenmont",21,13
"26985","Peebles",36,4
"26986","Williamsport",17,20
"26987","Mount Healthy",49,0
"26988","Bloomingdale",29,10
"26989","Painesville",31,17
"26990","Creston",15,23
"26991","Mineral Ridge",31,6
"26992","Collinsville",23,11
"26993","Wauseon",24,1
"26994","Kitts Hill",3,2
"26995","Amberley",28,4
"26996","Fairlawn",31,7
"26997","Saint Louisville",15,1
"26998","Norwalk",24,6
"26999","Maple Heights",32,3
"27000","Ontario",26,14
"27001","Kalida",26,7
"27002","Minerva",20,12
"27003","Loudonville",29,14
"27004","New Straitsville",4,0
"27005","Wharton",30,7
"27006","Fairborn",16,26
"27007","Stone Creek",31,5
"27008","Fort Shawnee",2,17
"27009","Freedom Station",31,10
"27010","Marne",25,13
"27011","Sharonville",42,3
"27012","Beverly",27,11
"27013","Wayne Lakes Park",0,0
"27014","Silica",36,4
"27015","Stoutsville",3,1
"27016","Parkertown",0,3
"27017","Fernald",25,14
"27018","Rittman",28,5
"27019","Potsdam",27,10
"27020","Craig Beach",40,6
"27021","Atwater",24,12
"27022","Summitville",10,1
"27023","Hoytville",2,0
"27024","Antioch",29,13
"27025","Sycamore",21,17
"27026","Orrville",32,8
"27027","McArthur",28,12
"27028","Galena",25,7
"27029","West Union",19,24
"27030","Waite Hill",1,1
"27031","Amsterdam",23,5
"27032","Clarktown",13,1
"27033","Caledonia",18,9
"27034","Lockbourne",15,5
"27035","Kent",24,16
"27036","Condit",32,13
"27037","Dover",17,14
"27038","Kansas",18,19
"27039","Fort Jennings",7,18
"27040","Lewistown",28,11
"27041","Hills and Dales",23,8
"27042","East Springfield",13,12
"27043","Lexington",31,7
"27044","Lucasville",18,22
"27045","Mentor",44,3
"27046","Kinsman",25,15
"27047","Bentleyville",5,2
"27048","Midway",27,13
"27049","New Bavaria",47,3
"27050","Geneva-on-the-Lake",30,4
"27051","Conneaut",30,8
"27052","Rossford",31,3
"27053","Manchester",34,9
"27054","South Perry",25,12
"27055","Grant",27,17
"27056","Ashtabula",31,10
"27057","Oregonia",7,0
"27058","Beaverdam",28,3
"27059","Cloverdale",20,22
"27060","Garfield Heights",36,8
"27061","Hepburn",24,15
"27062","Berlin",33,6
"27063","Canal Fulton",23,9
"27064","Union Furnace",2,1
"27065","Terrace Park",13,9
"27066","Hollansburg",0,1
"27067","Beulah Beach",1,0
"27068","East Canton",29,18
"27069","Rendville",0,1
"27070","Holiday Valley",48,0
"27071","Londonderry",31,12
"27072","Chester",19,13
"27073","Moraine",20,14
"27074","North Lima",23,7
"27075","Barberton",33,13
"27076","Burgoon",31,8
"27077","Forest Park",28,8
"27078","Timberlake",14,11
"27079","Delaware",29,16
"27080","Sherwood",19,23
"27081","Danville",39,7
"27082","Riverside",23,8
"27083","Sugarcreek",27,11
"27084","Leavittsburg",1,0
"27085","Perry Heights",19,1
"27086","Winona",27,15
"27087","Sardinia",26,6
"27088","East Sparta",5,8
"27089","Olde West Chester",2,1
"27090","Lower Salem",19,8
"27091","Cridersville",5,0
"27092","Massillon",27,7
"27093","North Star",35,7
"27094","East Liverpool",31,9
"27095","Vincent",24,11
"27096","Glenmoor",40,1
"27097","North Olmsted",23,16
"27098","Ironton",24,8
"27099","Olmsted Falls",27,23
"27100","Marshall",27,14
"27101","Rossmoyne",10,4
"27102","Killbuck",3,2
"27103","Graysville",15,10
"27104","Cumberland",25,11
"27105","Ravenna",32,12
"27106","Ostrander",21,21
"27107","Springboro",37,6
"27108","Ottawa Hills",33,3
"27109","Nashville",32,4
"27110","Charm",45,1
"27111","Chippewa Lake",31,16
"27112","Whipple",22,14
"27113","Moreland Hills",11,1
"27114","Shade",36,8
"27115","Winesburg",13,4
"27116","Reno",32,13
"27117","Struthers",28,12
"27118","East Ringgold",5,3
"27119","Melmore",8,5
"27120","Williston",26,13
"27121","Tedrow",30,11
"27122","The Plains",33,12
"27123","Sterling",37,5
"27124","Robertsville",21,1
"27125","Golf Manor",41,3
"27126","New Burlington",48,0
"27127","Marysville",18,18
"27128","Byer",30,11
"27129","Woodmere",24,9
"27130","Streetsboro",32,8
"27131","Millfield",33,4
"27132","Baltic",20,14
"27133","McComb",33,6
"27134","Brookside",38,5
"27135","Willshire",8,1
"27136","Old Washington",27,11
"27137","Troy",34,8
"27138","Woodsdale",23,7
"27139","London",20,15
"27140","Lagrange",41,8
"27141","Bay Village",23,4
"27142","Perry",27,7
"27143","Radnor",27,9
"27144","Greensburg",22,7
"27145","Brandon",33,9
"27146","Kilbourne",31,13
"27147","Ney",17,13
"27148","Chillicothe",11,14
"27149","Kenton",25,14
"27150","Brentwood",30,7
"27151","Washington Court House",20,19
"27152","Monroeville",34,9
"27153","Bucyrus",22,5
"27154","New Pittsburg",49,0
"27155","Benton Ridge",9,1
"27156","Ripley",25,14
"27157","Haviland",30,11
"27158","Highland Holiday",46,2
"27159","Carrothers",30,11
"27160","Celina",26,9
"27161","Amherst",27,8
"27162","Wellston",18,6
"27163","Donnelsville",0,1
"27164","South Amherst",27,5
"27165","Middletown",31,7
"27166","Archbold",21,20
"27167","Kunkle",26,11
"27168","Ada",27,5
"27169","Carbondale",15,8
"27170","Reedsville",9,6
"27171","Brooklyn",17,13
"27172","Peninsula",24,14
"27173","Bartlett",24,14
"27174","Englewood",22,14
"27175","New Paris",31,15
"27176","Glouster",8,13
"27177","Lindale",25,4
"27178","Calcutta",38,6
"27179","Willowick",33,9
"27180","Wightmans Grove",1,0
"27181","Pettisville",29,11
"27182","New Richmond",48,0
"27183","Berea",29,3
"27184","Ava",26,16
"27185","Leesville",35,2
"27186","Lancaster",20,21
"27187","New Knoxville",45,3
"27188","Gilboa",20,3
"27189","Springfield",29,12
"27190","Saint Charles",39,2
"27191","Pepper Pike",22,6
"27192","Northgate",26,8
"27193","Ghent",38,5
"27194","Malvern",20,21
"27195","Johnstown",23,7
"27196","Locust Lake",16,15
"27197","Macedonia",31,10
"27198","Plymouth",23,8
"27199","New Haven",44,4
"27200","Shandon",27,18
"27201","Greenford",21,13
"27202","Urbancrest",5,3
"27203","Cuyahoga Heights",35,10
"27204","Glen Este",9,4
"27205","Edison",35,7
"27206","Northview",25,7
"27207","Lockland",36,6
"27208","Scioto Furnace",0,1
"27209","Carlisle",32,5
"27210","Wayne",17,17
"27211","Coal Grove",38,5
"27212","Tipp City",26,16
"27213","North Ridgeville",21,20
"27214","Fremont",26,12
"27215","Buford",31,4
"27216","Miamiville",0,1
"27217","Dallasburg",0,1
"27218","Kettering",24,16
"27219","Brooklyn Heights",28,12
"27220","North Lawrence",20,8
"27221","Trimble",37,10
"27222","Beavercreek",39,8
"27223","Huber Ridge",1,0
"27224","Jacobsburg",2,1
"27225","Hilliard",25,2
"27226","North Bloomfield",37,5
"27227","Pemberville",11,2
"27228","Gratis",5,3
"27229","Oak Harbor",38,6
"27230","Stillwater",25,6
"27231","Holgate",26,13
"27232","Mount Healthy Heights",1,0
"27233","Higginsport",1,0
"27234","Waynesfield",23,3
"27235","Oceola",5,2
"27236","Newcomerstown",22,8
"27237","Spencer",23,14
"27238","Northfield Center",16,7
"27239","Lyons",22,15
"27240","New Rome",45,3
"27241","Dola",24,7
"27242","Coal Run",19,27
"27243","Summit Station",32,10
"27244","Milledgeville",33,11
"27245","Saint Martin",41,4
"27246","Deshler",25,8
"27247","Mount Pleasant",39,11
"27248","Canton",25,3
"27249","Richmond",27,9
"27250","Louisville",32,6
"27251","Hunter",20,21
"27252","Morgandale",0,0
"27253","Kirtland Hills",3,0
"27254","Willoughby",29,14
"27255","Columbus",18,24
"27256","Niles",20,12
"27257","Springvale",14,19
"27258","Junction City",26,11
"27259","Elida",27,8
"27260","North Zanesville",2,1
"27261","Loveland",27,9
"27262","Harpster",23,14
"27263","Bowerston",0,0
"27264","Valley View",26,10
"27265","Greenfield",13,30
"27266","Hamler",28,13
"27267","Bowling Green",34,5
"27268","Hamlet",25,21
"27269","McGonigle",21,12
"27270","Elliston",28,8
"27271","Martinsburg",32,1
"27272","New Holland",43,3
"27273","Richmond Dale",45,4
"27274","New Miami",50,0
"27275","Rushsylvania",2,1
"27276","Willowville",2,0
"27277","Dresden",18,17
"27278","Raymond",26,11
"27279","Broughton",37,3
"27280","Homeworth",31,7
"27281","South Salem",27,16
"27282","Hanover",27,8
"27283","Chattanooga",21,7
"27284","Lowell",25,12
"27285","Oak Hill",36,7
"27286","Churchill",26,10
"27287","Logan",27,16
"27288","Bridgetown",20,11
"27289","Brentwood Lake",10,2
"27290","Canfield",26,13
"27291","Brunswick",35,10
"27292","Smithfield",27,2
"27293","Marietta",38,5
"27294","New Hampshire",44,4
"27295","Leesburg",34,5
"27296","Tuppers Plains",1,0
"27297","Oxford",27,11
"27298","Convoy",22,16
"27299","Highland Hills",39,5
"27300","Savannah",24,12
"27301","Wapakoneta",28,8
"27302","Polk",26,16
"27303","North College Hill",19,24
"27304","Jefferson",26,14
"27305","Granville",20,20
"27306","Belmore",28,14
"27307","Reading",36,11
"27308","Ross",17,29
"27309","Martel",25,16
"27310","Pleasant Run",41,5
"27311","Good Hope",47,1
"27312","Sunbury",26,7
"27313","Brook Park",28,11
"27314","Harbor Hills",18,5
"27315","Jewett",38,5
"27316","Enon",37,7
"27317","McGuffey",28,15
"27318","Simons",29,7
"27319","Batavia",39,2
"27320","Middleport",32,6
"27321","Cygnet",33,12
"27322","Amesville",21,7
"27323","Nettle Lake",0,2
"27324","La Rue",33,15
"27325","Saint Johns",32,6
"27326","Yellow Springs",26,1
"27327","Broadview Heights",24,9
"27328","Selma",31,14
"27329","Fayette",31,8
"27330","Delta",29,13
"27331","Kipton",24,7
"27332","Ottawa",22,13
"27333","Port Union",20,17
"27334","New Bremen",48,2
"27335","Stockport",31,7
"27336","Pleasant Hill",38,9
"27337","Athalia",32,8
"27338","Woodville",21,7
"27339","Shiloh",15,24
"27340","Cecil",25,7
